MediaType	Normal	Normální
Metering	Spot	Středový bod
MeteringMode	Average	Průměr
MeteringMode	Center-weighted average	Zvýrazněný střed
MeteringMode	Multi-segment	Multi segment
MeteringMode	Multi-spot	Vícebodové
MeteringMode	Other	Jiné
MeteringMode	Partial	Blokové
MeteringMode	Spot	Středový bod
MeteringMode	Unknown	Neznámý
MeteringMode2	Multi-segment	Multi segment
MeteringMode3	Multi-segment	Multi segment
MinoltaQuality	Normal	Normální
ModifiedPictureStyle	Landscape	Krajina
ModifiedPictureStyle	None	Žádná
ModifiedPictureStyle	Portrait	Portrét
ModifiedSharpnessFreq	Low	Méně
ModifiedToneCurve	Manual	Manuální
ModifiedWhiteBalance	Cloudy	Zataženo
ModifiedWhiteBalance	Daylight	Denní světlo
ModifiedWhiteBalance	Daylight Fluorescent	Denní světlo
ModifiedWhiteBalance	Flash	Blesk
ModifiedWhiteBalance	Fluorescent	Žárovka
ModifiedWhiteBalance	Shade	Stíny
ModifiedWhiteBalance	Tungsten	Zářivka
MonochromeFilterEffect	None	Žádná
MonochromeToningEffect	None	Žádná
NEFCompression	Uncompressed	Bez komprese
NoiseFilter	Low	Méně
NoiseReduction	Normal	Normální
ObjectFileType	None	Žádná
ObjectFileType	Unknown	Neznámý
Orientation	Horizontal (normal)	0° (nahoru/vlevo)
Orientation	Mirror horizontal	0° (nahoru/vpravo)
Orientation	Mirror horizontal and rotate 270 CW	90° po směru HR (vlevo/nahoru)
Orientation	Mirror horizontal and rotate 90 CW	90° ptoti směru HR (vpravo/dolů)
Orientation	Mirror vertical	180° (dolů/vlevo)
Orientation	Rotate 180	180° (dolů/vpravo)
Orientation	Rotate 270 CW	90° po směru HR (vlevo/dolů)
Orientation	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
PhotoEffectsType	None	Žádná
PhotometricInterpretation	BlackIsZero	Černá je nula
PhotometricInterpretation	Color Filter Array	CFA (Color Filter Matrix)
PhotometricInterpretation	Pixar LogL	CIE Log2(L) (Log luminance)
PhotometricInterpretation	Pixar LogLuv	CIE Log2(L)(u',v') (Log luminance and chrominance)
PhotometricInterpretation	RGB Palette	Barevné schema
PhotometricInterpretation	Transparency Mask	Průhlednost
PhotometricInterpretation	WhiteIsZero	Bílá je nula
PictureFinish	Portrait	Portrét
PictureMode	Aperture-priority AE	Priorita clony
PictureMode	Landscape	Krajina
PictureMode	Macro	Makro
PictureMode	Manual	Manuální
PictureMode	Portrait	Portrét
PictureMode	Shutter speed priority AE	Priorita času
PictureMode2	Aperture Priority	Priorita clony
PictureMode2	Manual	Manuální
PictureMode2	Shutter Speed Priority	Priorita času
PictureStyle	Landscape	Krajina
PictureStyle	None	Žádná
PictureStyle	Portrait	Portrét
PixelUnits	Unknown	Neznámý
PlanarConfiguration	Chunky	Chunky Format (prokládaný)
PlanarConfiguration	Planar	Planární (dvojrozměrný)
Predictor	Horizontal differencing	Horizontální diferenciace
Predictor	None	Bez predikce
PreviewColorSpace	Unknown	Neznámý
PreviewQuality	Normal	Normální
ProgramLine	Normal	Normální
ProgramMode	None	Žádná
ProgramMode	Portrait	Portrét
Quality	Low	Méně
Quality	Normal	Normální
QualityMode	Normal	Normální
RawJpgQuality	Normal	Normální
RecordMode	Aperture Priority	Priorita clony
RecordMode	Manual	Manuální
RecordMode	Shutter Priority	Priorita času
RecordingMode	Landscape	Krajina
RecordingMode	Manual	Manuální
RecordingMode	Portrait	Portrét
ResampleParamsQuality	Low	Méně
ResolutionUnit	None	Žádná
ResolutionUnit	cm	Pixely/cm
ResolutionUnit	inches	Palce
RetouchHistory	None	Žádná
Rotation	Horizontal	0° (nahoru/vlevo)
Rotation	Horizontal (normal)	0° (nahoru/vlevo)
Rotation	Rotate 180	180° (dolů/vpravo)
Rotation	Rotate 270 CW	90° po směru HR (vlevo/dolů)
Rotation	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
Rotation	Rotated 180	180° (dolů/vpravo)
Rotation	Rotated 270 CW	90° po směru HR (vlevo/dolů)
Rotation	Rotated 90 CW	90° ptoti směru HR (vpravo/nahoru)
SampleFormat	Complex int	Komplexní číslo
SampleFormat	Float	Desetinná čárka
SampleFormat	Signed	Záporné číslo
SampleFormat	Undefined	Nedefinované
SampleFormat	Unsigned	Kladné číslo
Saturation	High	Vysoká
Saturation	Low	Nízká
